DateTime,Actual,Predicted_Naive,Predicted_SWA
2021-03-12,121.02999877929688,122.27173614501953,122.27174997519433
2021-03-15,123.98999786376953,121.6001205444336,120.9733867233997
2021-03-16,125.56999969482422,123.94129180908203,124.18166119904822
2021-03-17,124.76000213623047,125.6698989868164,124.88421458754897
2021-03-18,120.52999877929688,125.03075408935547,124.44213436001473
2021-03-19,119.98999786376953,121.04103088378906,121.37610851272757
2021-03-22,123.38999938964844,120.05542755126953,120.00707737823905
2021-03-23,122.54000091552734,123.28759765625,123.86169394928538
2021-03-24,120.08999633789062,123.24443054199219,124.10918514546438
2021-03-25,120.58999633789062,120.93399810791016,121.16282334547145
2021-03-26,121.20999908447266,120.98625946044922,120.95528745944307
2021-03-29,121.38999938964844,121.66316223144531,120.8176382560639
2021-03-30,119.9000015258789,121.93854522705078,122.39990189263699
2021-03-31,122.1500015258789,120.59463500976562,118.68412826885833
2021-04-01,123.0,122.30875396728516,120.02125308691507
2021-04-05,125.9000015258789,123.36371612548828,120.40389189082453
2021-04-06,126.20999908447266,125.9612808227539,125.01719414571721
2021-04-07,127.9000015258789,126.47270965576172,125.63766886435451
2021-04-08,130.36000061035156,127.8165054321289,127.62785058718191
2021-04-09,133.0,130.10093688964844,127.28337647759031
2021-04-12,131.24000549316406,132.67556762695312,131.1622804702506
2021-04-13,134.42999267578125,131.25726318359375,126.41219798730936
2021-04-14,132.02999877929688,133.8640594482422,132.26264900959632
2021-04-15,134.5,132.08975219726562,131.56764429568466
2021-04-16,134.16000366210938,134.14971923828125,133.80849468004135
2021-04-19,134.83999633789062,134.2269744873047,134.571648125941
2021-04-20,133.11000061035156,134.8560028076172,137.45455717174264
2021-04-21,133.5,133.3592071533203,135.85765261747815
2021-04-22,131.94000244140625,133.58453369140625,132.80094850555565
2021-04-23,134.32000732421875,132.27841186523438,132.28764741102623
